canonical_smiles,name,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
CC(=O)N[C@@H](CO)C(=O)O,Acetylserine,CC(=O)N[C@@H](CO)C(=O)O,JJIHLJJYMXLCOY-BYPYZUCNSA-N,pubchem,65249,0,unknown,0,0
CC(=O)N[C@@H](CS)C(=O)O,ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O,PWKSKIMOESPYIA-BYPYZUCNSA-N,chembl;drugcentral;pubchem,CHEMBL600;66;12035;9906338;12114682,1,vNo-DILI-Concern,0,0
CC(=O)N[C@@H](CS)C(N)=O,N-Acetylcysteine amide,CC(=O)N[C@@H](CS)C(=O)N,UJCHIZDEQZMODR-BYPYZUCNSA-N,pubchem,10176265,0,unknown,0,0
CC(=O)N[C@@H](CSC(C)=O)C(=O)O,dacisteine,CC(=O)N[C@@H](CSC(C)=O)C(O)=O,HSPYGHDTVQJUDE-LURJTMIESA-N,drugcentral,1760,0,unknown,0,0
CC(=O)N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)NCC(=O)O,"N-Alpha-Acetyl-3,5-Diiodotyrosylglycine",CC(=O)N[C@@H](CC1=CC(=C(C(=C1)I)O)I)C(=O)NCC(=O)O,SXRYVFRVDCDPKH-JTQLQIEISA-N,pubchem,447701,0,unknown,0,0
CC(=O)N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)N[C@@H](C(=O)O)[C@@H](C)O,"N-alpha-Acetyl-3,5-diiodotyrosyl-D-threonine",C[C@H]([C@H](C(=O)O)NC(=O)[C@H](CC1=CC(=C(C(=C1)I)O)I)NC(=O)C)O,TWMKRGDZEJLDDH-LKXWSVAYSA-N,pubchem,5288651,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(C(=O)O)c(C=O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU82197,CC(=O)N[C@@H](CC1=CC(=C(C=C1)C(=O)O)C=O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,WKTQBTSOHBKBRW-VMPREFPWSA-N,pubchem,5287443,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU82209,CC(=O)N[C@@H](CC1=CC=C(C=C1)C(F)(F)P(=O)(O)O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,LVZDQVATAQEMCX-NSOVKSMOSA-N,pubchem,447523,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(CC(=O)O)c(C(=O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU85053,CC(=O)N[C@@H](CC1=CC(=C(C=C1)CC(=O)O)C(=O)O)C(=O)N[C@H]2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4,CEKLBQMULVLLTD-VMPREFPWSA-N,pubchem,447524,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccc(Cl)cc1)[B-](O)(O)O,L-1-(4-chlorophenyl)-2-(acetamido)ethane boronic acid,[B-]([C@H](CC1=CC=C(C=C1)Cl)NC(=O)C)(O)(O)O,FPCXTDQHLFRWCJ-JTQLQIEISA-N,pubchem,449042,0,unknown,0,0
