name,canonical_smiles,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,sider_terms,known_hepatotoxic
FOSFOMYCIN TROMETHAMINE,NC(CO)(CO)CO,C[C@@H]1O[C@@H]1P(=O)(O)O.NC(CO)(CO)CO,LENZDBCJOHFCAS-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1200331;CHEMBL1200391;2771;6503,1,vLess-DILI-Concern,0,,1
Amiloride,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,XSDQTOBWRPYKKA-UHFFFAOYSA-N,pubchem,16231,1,vLess-DILI-Concern,0,,1
FAMOTIDINE,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,XUFQPHANEAPEMJ-UHFFFAOYSA-N,chembl,CHEMBL902,1,vLess-DILI-Concern,0,,1
Gastro,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,XUFQPHANEAPEMJ-UHFFFAOYSA-N,pubchem,3325,1,vLess-DILI-Concern,0,,1
Tranylcypromine,NC1CC1c1ccccc1,C1C(C1N)C2=CC=CC=C2,AELCINSCMGFISI-UHFFFAOYSA-N,pubchem,5530,1,vLess-DILI-Concern,0,,1
BACLOFEN,NCC(CC(=O)O)c1ccc(Cl)cc1,NCC(CC(=O)O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL701;282;2284,1,vLess-DILI-Concern,0,,1
GABAPENTIN,NCC1(CC(=O)O)CCCCC1,NCC1(CC(=O)O)CCCCC1,UGJMXCAKCUNAIE-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL940;1264;3446,1,vLess-DILI-Concern,0,,1
ALENDRONATE SODIUM,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],OGSPWJRAVKPPFI-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL675;CHEMBL870;112;2088,1,vLess-DILI-Concern,0,,1
LISINOPRIL,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,RLAWWYSOJDYHDC-BZSNNMDCSA-N,chembl;drugcentral;pubchem,CHEMBL419213;CHEMBL1237;1587;5362119,1,vLess-DILI-Concern,0,,1
PHENELZINE,NNCCc1ccccc1,NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1089;CHEMBL1200895;2123;3675,1,vLess-DILI-Concern,0,,1
HYDRALAZINE,NNc1nncc2ccccc12,NNc1nncc2ccccc12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL276832;CHEMBL542541;1384;3637,1,vLess-DILI-Concern,0,,1
ZONISAMIDE,NS(=O)(=O)Cc1noc2ccccc12,NS(=O)(=O)Cc1noc2ccccc12,UBQNRHZMVUUOMG-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL750;2872;5734,1,vLess-DILI-Concern,1,,1
BENDROFLUMETHIAZIDE,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,HDWIHXWEUNVBIY-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1684;305;2315,1,vLess-DILI-Concern,0,,1
CHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,JBMKAUGHUNFTOL-UHFFFAOYSA-N,chembl;drugcentral,CHEMBL842;CHEMBL1200616;609,1,vLess-DILI-Concern,0,,1
Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,JBMKAUGHUNFTOL-UHFFFAOYSA-N,pubchem,2720,1,vLess-DILI-Concern,0,,1
HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,JZUFKLXOESDKRF-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL435;1385;3639,1,vLess-DILI-Concern,1,,1
SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,MFFMDFFZMYYVKS-SECBINFHSA-N,chembl;drugcentral;pubchem,CHEMBL1422;CHEMBL1201174;CHEMBL5315049;CHEMBL6068334;2448;4369359,1,vLess-DILI-Concern,0,,1
LEVOTHYROXINE,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,XUIIKFGFIJCVMT-LBPRGKRZSA-N,chembl;drugcentral;pubchem,CHEMBL1624;CHEMBL2103741;2646;5819;71371,1,vLess-DILI-Concern,0,,1
MELPHALAN,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,SGDBTWWWUNNDEQ-LBPRGKRZSA-N,chembl;drugcentral;pubchem,CHEMBL852;CHEMBL1200863;1678;460612,1,vLess-DILI-Concern,0,,1
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,Nc1ccc(O)c(C(=O)O)c1,KBOPZPXVLCULAV-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL704;1710;4075,1,vLess-DILI-Concern,0,,1
SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,SEEPANYCNGTZFQ-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL439;CHEMBL1200351;CHEMBL1382627;2500;5215;441244,1,vLess-DILI-Concern,0,,1
DAPSONE,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,MQJKPEGWNLWLTK-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1043;782;2955,1,vLess-DILI-Concern,0,,1
LENALIDOMIDE,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,GOTYRUGSSMKFNF-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL848;CHEMBL6068337;3317;216326,1,vLess-DILI-Concern,0,,1
LAMIVUDINE,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,JTEGQNOMFQHVDC-NKWVEPMBSA-N,chembl;drugcentral;pubchem,CHEMBL141;1539;60825,1,vLess-DILI-Concern,0,,1
Thioguanine,Nc1nc(=S)c2[nH]cnc2[nH]1,C1=NC2=C(N1)C(=S)N=C(N2)N,WYWHKKSPHMUBEB-UHFFFAOYSA-N,pubchem,2723601,1,vLess-DILI-Concern,1,,1
CLADRIBINE,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,PTOAARAWEBMLNO-KVQBGUIXSA-N,chembl;drugcentral;pubchem,CHEMBL1619;667;20279,1,vLess-DILI-Concern,0,,1
TRIAMTERENE,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL585;2728;5546,1,vLess-DILI-Concern,0,,1
ACYCLOVIR SODIUM,Nc1nc(O)c2ncn(COCCO)c2n1,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+],MKUXAQIIEYXACX-UHFFFAOYSA-N,chembl,CHEMBL1200380,1,vLess-DILI-Concern,0,,1
