name,smiles,canonical_smiles,inchi_key,sources,source_ids,sider_terms,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
"11,17,21-Trihydroxypregn-4-ene-3,20-dione",CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,JYGXADMDTFJGBT-UHFFFAOYSA-N,sider,3640,Alanine aminotransferase increased;Hepatomegaly,0,unknown,0,1
Hydroflumethiazide,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,DMDGGSIALPNSEE-UHFFFAOYSA-N,sider,3647,Jaundice;Jaundice cholestatic,0,unknown,0,1
"4,5alpha-Epoxy-3-hydroxy-17-methylmorphinan-6-one",CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,WVLOADHCBXTIJK-UHFFFAOYSA-N,sider,3648,Aspartate aminotransferase increased;Hepatic enzyme increased;Hepatomegaly,0,unknown,0,1
Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,sider,3652,Acute hepatic failure;Hepatic function abnormal;Hepatitis fulminant;Hepatocellular injury;Liver disorder;Liver function test abnormal,0,unknown,0,1
Hydroxyurea,C(=O)(N)NO,NC(=O)NO,VSNHCAURESNICA-UHFFFAOYSA-N,sider,3657,Hepatic enzyme increased;Hepatic failure;Hepatotoxicity,0,unknown,0,1
"Ibuprofen, (+-)-",CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,sider,3672,Cholestasis;Hepatic enzyme increased;Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Hepatitis;Hepatitis toxic;Hepatocellular injury;Hepatorenal syndrome;Jaundice;Liver disorder;Liver function test abnormal,0,unknown,0,1
Phenelzine,C1=CC=C(C=C1)CCNN,NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,sider,3675,Hepatocellular injury;Jaundice;Liver injury,0,unknown,0,1
"9-acetyl-7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-8,10-dihydro-7H-tetracene-5,12-dione",CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,XDXDZDZNSLXDNA-UHFFFAOYSA-N,sider,3685,Hepatic function abnormal,0,unknown,0,1
Ifosfamide,C1CN(P(=O)(OC1)NCCCl)CCCl,O=P1(NCCCl)OCCCN1CCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,sider,3690,Cholestasis;Hepatic failure;Hepatic function abnormal;Hepatitis;Hepatitis fulminant;Hepatitis viral;Hepatotoxicity;Venoocclusive liver disease,0,unknown,0,1
Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,sider,3696,Hepatitis;Jaundice;Liver function test abnormal,0,unknown,0,1
Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,NDDAHWYSQHTHNT-UHFFFAOYSA-N,sider,3702,Hepatic encephalopathy;Hepatic enzyme increased;Hepatic failure;Hepatitis;Jaundice;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
"1-(4-Benzyl-2-hydroxy-5-((2-hydroxy-2,3-dihydro-1H-inden-1-yl)amino)-5-oxopentyl)-N-tert-butyl-4-((pyridin-3-yl)methyl)piperazine-2-carboxamide",CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,CBVCZFGXHXORBI-UHFFFAOYSA-N,sider,3706,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood bilirubin unconjugated increased;Cholestasis;Hepatic cirrhosis;Hepatic failure;Hepatitis;Jaundice,0,unknown,0,1
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,sider,3715,Hepatitis;Hepatitis toxic;Jaundice,0,unknown,0,1
Iotrolan,CN(C1=C(C(=C(C(=C1I)C(=O)NC(CO)C(CO)O)I)C(=O)NC(CO)C(CO)O)I)C(=O)CC(=O)N(C)C2=C(C(=C(C(=C2I)C(=O)NC(CO)C(CO)O)I)C(=O)NC(CO)C(CO)O)I,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I,XUHXFSYUBXNTHU-UHFFFAOYSA-N,sider,3738,Hepatitis,0,unknown,0,1
Ioxilan,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,UUMLTINZBQPNGF-UHFFFAOYSA-N,sider,3743,Hepatic failure,0,unknown,0,1
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,YOSHYTLCDANDAN-UHFFFAOYSA-N,sider,3749,Hepatic function abnormal;Hepatitis;Jaundice;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
